Date,Description,Amount,Type,Merchant_Category,Label
2024-11-14,amazon Song summer cover.,3669.11,DR,Shopping,Expense
2024-08-30,shopping Animal election.,10098.25,DEBIT,Shopping,Expense
2025-04-10,CREDITED BY Language every show.,36237.98,Credit,Other,Income
2024-07-15,food Collection ever off.,18821.37,Debit,Food,Expense
2024-11-09,paytm Will everyone.,18574.37,Debit,Wallet/Recharge,Expense
2024-08-10,rent Suffer this run.,9655.47,DEBIT,Rent,Expense
2025-03-28,electricity bill Area rise election.,3955.28,DEBIT,Other,Expense
2025-06-27,MUTUAL FUND Apply brother.,4420.03,CREDIT,Investment,Savings
2025-06-25,RD CREDIT Morning although.,8954.8,CREDIT,Investment,Savings
2024-10-19,electricity bill Local window local.,17198.08,DR,Other,Expense
2025-03-20,shopping Upon much record PM.,1629.57,DEBIT,Shopping,Expense
2025-06-24,emi Mrs represent.,10525.31,DR,Loan,Expense
2025-03-13,SALARY PAYMENT Current various.,44254.34,Credit,Salary,Income
2025-03-08,swiggy Against real person.,18961.19,DR,Food Delivery,Expense
2024-09-26,food Nice health scene.,1809.87,Debit,Food,Expense
2025-05-17,salary deposit Consider speak pay.,6471.53,CR,Salary,Income
2024-09-30,DEBIT FOR INVESTMENT Yeah employee else.,6415.85,Credit,Other,Savings
2025-03-13,profit share Key help rich could.,22264.61,CR,Investment,Income
2024-11-29,salary Worker peace two.,63264.77,CREDIT,Salary,Income
2025-02-11,award We sense call.,54762.4,Credit,Investment,Income
2024-07-29,grocery Teach meet within.,11614.36,DEBIT,Grocery,Expense
2024-10-08,salary Drive particular.,23616.87,CREDIT,Salary,Income
2025-01-27,advance payment Why social.,56105.67,CREDIT,Advance,Income
2024-07-07,RTGS credit Play account fish.,30360.27,Credit,RTGS,Income
2024-11-13,SHARE PURCHASE Trip I recently.,8407.75,DR,Other,Savings
2024-11-20,rent Similar discussion.,3258.36,DR,Rent,Expense
2025-05-27,paytm Activity network.,12908.11,DEBIT,Wallet/Recharge,Expense
2024-07-28,swiggy Arrive final final.,16835.04,Debit,Food Delivery,Expense
2024-12-25,SOVEREIGN GOLD BOND Center computer.,5241.13,Credit,Other,Savings
2025-06-17,emi Hundred everybody.,12629.0,Debit,Loan,Expense
2024-11-04,INTEREST CREDIT Stuff opportunity.,16122.11,CREDIT,Interest,Income
2024-12-04,grocery Big three.,4704.5,DR,Grocery,Expense
2024-08-11,medical claim Middle value sure.,57594.84,Credit,Medical,Income
2024-11-04,tax refund Story central.,34711.97,CR,Refund,Income
2025-01-11,grocery Man yourself.,16253.94,Debit,Grocery,Expense
2024-09-24,rent House bring.,19365.24,DEBIT,Rent,Expense
2025-04-24,electricity bill Career will partner.,1448.42,Debit,Other,Expense
2025-06-22,SAVINGS Ever general social.,8365.98,Credit,Savings,Savings
2025-03-10,food Begin eye scientist.,1607.91,DEBIT,Food,Expense
2025-03-21,electricity bill Performance fish.,12106.76,DEBIT,Other,Expense
2025-03-17,food Race begin weight.,14802.5,DR,Food,Expense
2025-03-31,shopping Address seek truth.,1499.75,DR,Shopping,Expense
2024-09-07,emi Sure become play.,8955.91,DR,Loan,Expense
2024-11-19,CREDITED TO Accept message art.,32295.54,CREDIT,Other,Income
2024-10-14,swiggy Level bring enjoy.,6298.23,DEBIT,Food Delivery,Expense
2025-05-16,shopping Often enough later.,13996.53,DR,Shopping,Expense
2025-03-14,emi Power want career.,12160.13,DR,Loan,Expense
2024-10-04,NATIONAL PENSION SYSTEM Huge reduce leader.,4324.38,DR,Pension,Savings
2025-02-17,loan credit Process customer.,38029.51,CREDIT,Loan,Income
2025-06-28,zomato Tax college at win.,15628.56,DEBIT,Food Delivery,Expense
2024-11-21,fuel Lot mission but.,15287.93,Debit,Fuel,Expense
2025-04-28,rent Those sing argue.,1762.09,Debit,Rent,Expense
2024-07-08,food Purpose we source.,10386.74,DR,Food,Expense
2024-10-18,TRADING ACCOUNT They too lose dark.,5068.27,DEBIT,Other,Savings
2024-09-27,credited Include machine.,38247.62,CR,Other,Income
2024-10-25,CREDIT Quite source these.,28287.0,CREDIT,Other,Income
2024-07-06,zomato Appear sound.,12918.58,DR,Food Delivery,Expense
2024-12-18,amazon Choose focus boy.,13101.98,DEBIT,Shopping,Expense
2025-01-25,grocery Group better final.,13091.81,DR,Grocery,Expense
2024-09-26,RD INITIATED Blood name tell may.,6886.1,DR,Investment,Savings
2024-10-18,zomato Wish economy avoid.,6374.9,DR,Food Delivery,Expense
2025-04-05,FD RENEWAL Him where sense.,5532.84,CR,Investment,Savings
2025-07-02,emi Beyond those area.,18542.24,DEBIT,Loan,Expense
2024-08-07,swiggy Election after.,5015.13,DEBIT,Food Delivery,Expense
2025-01-25,fuel Simply beautiful.,19984.42,DR,Fuel,Expense
2024-12-05,swiggy Difficult Democrat.,8379.79,DEBIT,Food Delivery,Expense
2024-07-10,swiggy Some still rich per.,3292.43,DEBIT,Food Delivery,Expense
2024-09-23,IMPS credit Late enjoy game.,7475.32,Credit,IMPS,Income
2025-05-03,swiggy Inside job me bit.,14600.54,DEBIT,Food Delivery,Expense
2025-02-03,food Who bad Republican.,8335.67,Debit,Food,Expense
2024-09-29,rent Back hard apply.,7932.67,Debit,Rent,Expense
2025-04-15,grocery Rest cultural today.,15284.39,DEBIT,Grocery,Expense
2025-03-31,commission Window soldier.,71333.98,CR,Commission,Income
2024-10-31,amazon Suddenly get.,19235.96,DR,Shopping,Expense
2024-09-28,amazon Activity democratic.,818.15,DR,Shopping,Expense
2025-03-22,emi School for involve.,11751.65,Debit,Loan,Expense
2025-03-17,swiggy Store bar network.,8373.98,DEBIT,Food Delivery,Expense
2024-08-28,zomato Off trial whole.,10601.83,DR,Food Delivery,Expense
2025-02-28,rent Sign compare always.,15811.21,DEBIT,Rent,Expense
2025-07-03,fuel Sport program help.,13163.42,DR,Fuel,Expense
2025-06-29,medical claim Ready impact type.,37808.39,CR,Medical,Income
2024-09-13,TRANSFER FROM Local cold fine.,44944.04,CREDIT,Transfer,Income
2024-10-27,swiggy Can especially easy.,9661.77,Debit,Food Delivery,Expense
2025-03-19,DIGITAL GOLD Discover scene.,991.6,Credit,Other,Savings
2024-10-06,employer credit Type industry owner.,58176.9,CR,Salary,Income
2024-07-04,SGB War management.,3412.53,DR,Other,Savings
2024-12-12,ACH/NEFT from Poor upon plant.,74850.73,CR,Other,Income
2024-11-06,ICICI PRU LIFE Our cost whether.,2533.02,CREDIT,Other,Savings
2024-11-03,ICICIDIRECT Part despite change.,4785.36,DR,Other,Savings
2025-02-04,swiggy Light and degree.,4382.97,DR,Food Delivery,Expense
2025-06-15,fuel Bar return Mrs.,2341.75,Debit,Fuel,Expense
2024-09-13,consulting payment Arm however.,49605.62,CREDIT,Consulting,Income
2025-04-02,salary from Simple investment.,62512.26,CR,Salary,Income
2025-01-29,food Draw stand whatever.,11381.1,DR,Food,Expense
2024-10-18,cash deposit Color night of law.,16593.24,CREDIT,Deposit,Income
2025-01-02,swiggy Sister personal for.,8832.42,DEBIT,Food Delivery,Expense
2024-09-30,KOTAK MF Education four.,5020.89,Credit,Other,Savings
2025-06-22,grocery Air Democrat.,3193.6,DR,Grocery,Expense
2025-03-08,shopping Share money on.,149.39,Debit,Shopping,Expense
2024-12-04,electricity bill Story fund hold.,13903.49,DEBIT,Other,Expense
2024-09-29,amazon Person foreign.,9783.66,Debit,Shopping,Expense
2025-03-20,UPI credit Production provide.,61760.42,CREDIT,UPI,Income
2025-01-08,zomato Ago color off keep.,3610.47,Debit,Food Delivery,Expense
2024-07-17,RTGS credit Adult style current.,63522.89,CREDIT,RTGS,Income
2025-01-21,zomato Wide evening day.,13734.22,DR,Food Delivery,Expense
2025-02-12,interest Front us unit.,27144.86,CR,Interest,Income
2024-10-25,FD interest Move next reduce.,65001.08,CREDIT,Interest,Income
2025-05-26,electricity bill Develop culture.,4237.82,DR,Other,Expense
2024-07-09,ACH/NEFT credit But popular take.,21673.86,CR,Other,Income
2025-02-13,NIPPON INDIA Around while kid.,8441.82,Credit,Other,Savings
2025-06-13,pension Wonder half lawyer.,18356.01,CR,Pension,Income
2025-04-13,food Do sometimes.,5332.65,DEBIT,Food,Expense
2025-05-22,FD RENEWAL Enter under fact PM.,3453.01,CR,Investment,Savings
2024-09-23,GOLD ETF Loss anything key.,2097.75,Debit,Other,Savings
2024-07-10,food Ready necessary.,7561.82,DR,Food,Expense
2024-09-02,paytm Become American ok.,15189.66,DR,Wallet/Recharge,Expense
2024-10-04,emi Thousand fish.,6881.31,DEBIT,Loan,Expense
2025-06-21,zomato Order list food why.,14369.26,DR,Food Delivery,Expense
2024-12-01,rent Future everyone.,982.58,DR,Rent,Expense
2025-03-08,ppf Great take Democrat.,4097.7,CREDIT,Investment,Savings
2024-07-29,AUTO TRANSFER TO FD Fall walk else.,9687.94,Credit,Investment,Savings
2024-12-03,REFUND State who wish.,6594.23,CR,Refund,Income
2024-07-12,emi Owner population.,10635.17,DEBIT,Loan,Expense
2024-10-06,interest Trade them so.,58053.29,CREDIT,Interest,Income
2025-04-06,CREDIT Environmental again.,15185.56,CREDIT,Other,Income
2024-08-13,SUKANYA SAMRIDDHI Table goal day.,1648.46,Debit,Other,Savings
2024-12-22,grocery Feeling debate.,8049.73,Debit,Grocery,Expense
2025-05-05,salary Act day top camera.,52034.57,CR,Salary,Income
2025-04-30,CREDIT Send son candidate.,74113.26,CR,Other,Income
2025-03-17,arrears Final role night.,6517.12,Credit,Salary,Income
2024-07-05,insurance claim Mean like next.,28261.85,CR,Insurance,Income
2024-10-18,tax refund Likely development.,51288.76,Credit,Refund,Income
2025-01-15,emi Hold teacher weight.,11766.92,DEBIT,Loan,Expense
2025-04-09,food Understand purpose.,960.39,DR,Food,Expense
2025-02-25,bonus credit Can shake describe.,40687.99,CREDIT,Salary,Income
2025-02-28,swiggy Phone action.,16143.02,Debit,Food Delivery,Expense
2025-06-15,stipend Store store maybe.,14265.58,Credit,Stipend,Income
2024-11-22,grocery Again young.,15512.24,Debit,Grocery,Expense
2025-02-05,emi Page could recently.,14699.19,Debit,Loan,Expense
2024-07-16,employer credit Authority bad agent.,33085.11,CREDIT,Salary,Income
2025-06-07,RELIANCE MF Scientist follow.,9729.06,CR,Other,Savings
2025-07-01,SBI BLUECHIP Range it describe.,3875.34,Debit,Other,Savings
2025-06-27,emi Assume everything.,5864.99,Debit,Loan,Expense
2024-11-22,fuel Race also available.,8691.67,DEBIT,Fuel,Expense
2025-02-02,ZERODHA Low peace somebody.,9416.58,Debit,Other,Savings
2025-05-23,rent Hundred spend.,10486.72,DEBIT,Rent,Expense
2025-06-19,RD interest Discover lead.,42309.96,Credit,Interest,Income
2024-12-16,pension Kind trip key.,4147.23,CR,Pension,Savings
2024-08-24,zomato Develop deep.,6557.15,DR,Food Delivery,Expense
2025-01-11,RD INSTALLMENT Member item kind.,7849.98,CR,Investment,Savings
2025-01-16,RECURRING DEPOSIT Stand seem perform.,6966.65,DR,Other,Savings
2024-10-05,electricity bill Turn mind their.,2193.24,DEBIT,Other,Expense
2024-12-24,food Manager often read.,18953.72,Debit,Food,Expense
2025-02-11,electricity bill Seem upon health.,16863.64,DR,Other,Expense
2025-04-25,paytm Political game.,8654.33,Debit,Wallet/Recharge,Expense
2024-07-14,zomato Hope cultural price.,3897.99,DEBIT,Food Delivery,Expense
2025-06-01,salary from Somebody everybody.,45991.12,CREDIT,Salary,Income
2025-02-04,MUTUAL FUND PURCHASE Military military.,8820.95,CR,Investment,Savings
2025-03-08,RENT RECEIVED Specific forward.,54657.73,CREDIT,Rent,Income
2025-05-26,amazon Trip nearly TV just.,2220.84,DR,Shopping,Expense
2025-05-04,amazon Suddenly position.,10826.08,DEBIT,Shopping,Expense
2025-02-22,zomato Clear tend yeah.,7273.42,DR,Food Delivery,Expense
2024-10-20,food Teach road state.,17512.63,DR,Food,Expense
2024-11-04,zomato Indicate section.,4889.63,Debit,Food Delivery,Expense
2025-06-04,GOLD BOND Structure staff me.,7517.82,DEBIT,Other,Savings
2024-07-11,RTGS credit Majority side song.,61871.7,Credit,RTGS,Income
2025-04-17,fuel Letter two box.,3672.48,DR,Fuel,Expense
2025-01-15,grocery Organization cover.,16388.91,DEBIT,Grocery,Expense
2025-05-30,bank transfer Wall which another.,35018.86,CR,Transfer,Income
2025-01-14,zomato Type attention.,2947.25,DEBIT,Food Delivery,Expense
2025-02-23,amazon Future certain.,12844.29,DEBIT,Shopping,Expense
2025-03-11,swiggy About quite too.,265.1,DEBIT,Food Delivery,Expense
2024-11-23,HDFC LIFE Carry case million.,5096.36,DR,Other,Savings
2025-03-03,electricity bill Learn parent rate.,13579.63,Debit,Other,Expense
2024-09-17,NATIONAL PENSION SYSTEM Each last body.,3497.43,Credit,Pension,Savings
2024-08-10,advance payment Security add.,57446.07,CR,Advance,Income
2025-01-06,fuel Between truth image.,1037.19,Debit,Fuel,Expense
2024-10-26,RENT RECEIVED Item yard sound.,38990.26,CREDIT,Rent,Income
2025-02-27,SAVINGS ACCOUNT Similar end which.,4778.93,Debit,Savings,Savings
2025-04-11,FD BOOKING Herself state firm.,5287.65,Credit,Investment,Savings
2025-06-18,mutual fund redemption Answer carry person.,23139.89,CR,Investment,Income
2025-06-27,SALARY Something value air.,58369.9,CR,Salary,Income
2024-12-27,refund Season interview.,47909.89,CREDIT,Refund,Income
2025-04-10,ANGEL ONE Sit product western.,1017.12,Debit,Other,Savings
2024-11-14,food Structure three.,14355.16,Debit,Food,Expense
2025-03-14,shopping Garden candidate.,3680.37,Debit,Shopping,Expense
2024-08-20,BAJAJ ALLIANZ Allow himself tough.,5383.67,CREDIT,Other,Savings
2025-03-26,amazon Charge wait east.,5444.31,Debit,Shopping,Expense
2024-08-27,emi Prepare else house.,11444.1,DEBIT,Loan,Expense
2025-05-27,ANGEL ONE Word billion focus.,1104.86,CREDIT,Other,Savings
2024-09-12,dividend Mr send prove.,19301.05,CREDIT,Investment,Income
2025-06-25,emi Stuff future.,10078.31,DR,Loan,Expense
2025-04-29,rent Onto gas music cost.,5842.83,DR,Rent,Expense
2024-07-27,fuel Information develop.,13463.84,DEBIT,Fuel,Expense
2025-06-30,SOVEREIGN GOLD BOND Weight never there.,2401.18,CR,Other,Savings
2025-06-06,SGB PURCHASE Professional full.,7130.79,CR,Other,Savings
2025-05-05,bonus received Region economic.,34735.54,CREDIT,Salary,Income
2024-10-02,INVESTMENT FUND Similar home part.,9367.61,DR,Other,Savings
2025-05-05,NPS Let bad source guy.,752.12,Debit,Investment,Savings
2024-12-18,shopping Quality phone.,1058.46,Debit,Shopping,Expense
2025-07-03,electricity bill Card suddenly old.,13872.28,DR,Other,Expense
2024-07-05,sale credit Common may place.,70905.47,CREDIT,Sale,Income
2024-11-27,grocery Town people still.,11424.53,DR,Grocery,Expense
2024-12-17,HDFC LIFE Meet measure feel.,9380.23,CR,Other,Savings
2025-06-11,electricity bill Marriage hand.,19065.02,DEBIT,Other,Expense
2025-03-21,GOLD ETF Though green result.,1310.23,CR,Other,Savings
2025-06-25,CREDITED BY Several cell film.,9808.25,CR,Other,Income
2024-11-21,bonus Population suffer.,59119.01,Credit,Salary,Income
2024-07-26,EQUITY Including interview.,5209.21,DR,Other,Savings
2024-11-28,medical claim Guy surface dream.,6037.46,CR,Medical,Income
2024-11-11,nps If indeed page.,1388.27,CREDIT,Investment,Savings
2025-05-21,dividend Fund traditional.,46912.31,CREDIT,Investment,Income
2024-11-08,shopping Wide stock those.,14493.91,DR,Shopping,Expense
2024-09-07,swiggy Middle few life.,6448.69,DR,Food Delivery,Expense
2025-06-03,LIC Day author.,5467.98,CR,Insurance,Savings
2024-09-21,grocery After not.,514.59,Debit,Grocery,Expense
2024-10-30,transfer from Share service.,43276.42,Credit,Transfer,Income
2024-08-17,electricity bill Democrat style work.,7523.19,Debit,Other,Expense
2025-04-16,FD RENEWAL Think his beat side.,5695.38,Debit,Investment,Savings
2025-07-02,zomato Manage notice.,4688.2,DEBIT,Food Delivery,Expense
2025-02-03,reimbursement Catch paper us day.,6464.3,Credit,Reimbursement,Income
2024-11-17,grocery Bit environmental.,1782.05,DR,Grocery,Expense
2024-07-26,grocery Whatever paper.,18085.68,DR,Grocery,Expense
2024-08-14,paytm Manage point until.,5557.62,DR,Wallet/Recharge,Expense
2025-01-02,swiggy Special almost.,19950.97,DEBIT,Food Delivery,Expense
2025-02-14,GOLD BOND Health election.,4722.84,Credit,Other,Savings
2024-08-07,swiggy Air population.,13918.09,DR,Food Delivery,Expense
2025-01-26,grocery Boy live improve.,2585.02,DEBIT,Grocery,Expense
2024-12-04,TERM DEPOSIT PM study interest.,635.84,CREDIT,Other,Savings
2024-08-22,emi Make data build.,12549.65,DEBIT,Loan,Expense
2025-01-23,grocery Family bill.,2776.23,DEBIT,Grocery,Expense
2024-08-04,ICICI PRU MF Fill remain impact.,2713.55,CREDIT,Other,Savings
2025-05-25,CREDITED Require itself.,14291.95,CR,Other,Income
2024-11-26,electricity bill Near understand.,12133.54,Debit,Other,Expense
2024-07-28,electricity bill Surface strong her.,8370.06,DEBIT,Other,Expense
2024-09-25,SALARY DEPOSIT Television author.,51025.47,CREDIT,Salary,Income
2025-05-22,pension Feeling speech high.,7579.75,DEBIT,Pension,Savings
2024-09-07,grocery Company seat major.,15133.8,Debit,Grocery,Expense
2025-05-18,reversal Across audience.,17285.76,Credit,Reversal,Income
2025-05-03,CREDITED BY Hold politics.,73603.96,CR,Other,Income
2024-12-05,fuel Form just Mr.,10938.43,DEBIT,Fuel,Expense
2025-04-02,NSC Miss whole next.,2156.61,DEBIT,Other,Savings
2025-03-18,swiggy Thought window from.,17527.43,DR,Food Delivery,Expense
2024-12-26,emi Brother politics.,13099.18,DEBIT,Loan,Expense
2024-12-26,electricity bill Decide staff write.,18150.56,Debit,Other,Expense
2025-02-02,paytm Thing here onto.,975.34,Debit,Wallet/Recharge,Expense
2024-09-06,RD CREDIT Commercial several.,6517.64,CREDIT,Investment,Savings
2024-10-22,SAVINGS DEPOSIT Generation general.,9825.15,DEBIT,Savings,Savings
2025-05-27,mutual fund redemption Laugh suffer simply.,29678.16,CR,Investment,Income
2025-06-22,electricity bill Investment others.,17432.8,DEBIT,Other,Expense
2024-11-19,PPF Let manage form.,9185.36,DEBIT,Investment,Savings
2025-01-16,REIMBURSEMENT Challenge as every.,50017.96,CREDIT,Reimbursement,Income
2024-11-21,rent Law both left.,1935.08,DR,Rent,Expense
2025-06-14,RD interest Institution usually.,64463.1,Credit,Interest,Income
2025-06-10,swiggy President represent.,9906.95,DR,Food Delivery,Expense
2025-06-01,rent Catch full force.,16735.64,Debit,Rent,Expense
2024-08-01,zomato Girl wife fact.,5372.34,DR,Food Delivery,Expense
2025-06-15,loan credit Cut watch report.,59043.23,Credit,Loan,Income
2025-04-04,SAVINGS DEPOSIT With analysis.,9782.43,DEBIT,Savings,Savings
2024-12-26,salary transfer Another poor glass.,49610.71,CR,Salary,Income
2024-10-02,NATIONAL PENSION SYSTEM Likely born assume.,2054.95,DEBIT,Pension,Savings
2025-01-22,gift received Beautiful avoid can.,47533.85,CR,Gift,Income
2025-06-05,paytm Save line accept.,931.94,DEBIT,Wallet/Recharge,Expense
2025-03-04,food Chair ahead only.,12962.67,DEBIT,Food,Expense
2025-02-25,REFUND Official history.,23876.55,Credit,Refund,Income
2024-12-26,electricity bill Avoid benefit class.,17409.07,DEBIT,Other,Expense
2025-03-04,rent Painting develop.,12508.4,Debit,Rent,Expense
2025-03-27,TATA AIA Amount every policy.,3379.08,CREDIT,Other,Savings
2025-02-07,EQUITY Husband structure.,4692.55,Debit,Other,Savings
2025-01-26,emi Table size include.,2725.41,Debit,Loan,Expense
2025-03-10,royalty Response kind laugh.,67643.23,CREDIT,Royalty,Income
2025-06-07,INVESTMENT Picture must.,3167.55,CR,Other,Savings
2025-02-18,EQUITY INVESTMENT Fast computer learn.,8839.62,Debit,Other,Savings
2024-08-12,electricity bill Chance blood ago.,5003.66,DEBIT,Other,Expense
2025-04-22,advance credit Man listen audience.,7596.06,CR,Advance,Income
2025-03-20,insurance claim Order possible.,8077.08,CREDIT,Insurance,Income
2025-06-08,SIP No off growth unit.,4582.04,CREDIT,Other,Savings
2025-04-11,emi General almost pay.,2733.93,DR,Loan,Expense
2025-06-18,swiggy Probably class.,119.7,DR,Food Delivery,Expense
2024-12-16,fuel From ahead player.,5173.31,DEBIT,Fuel,Expense
2024-10-31,profit share Region president.,12053.2,CR,Investment,Income
2025-04-15,rent Find poor race.,11463.43,DR,Rent,Expense
2025-01-26,salary payment Others minute beat.,62172.91,CR,Salary,Income
2025-02-02,shopping Alone item spring.,15452.35,Debit,Shopping,Expense
2025-07-01,salary payment By able drive TV.,44129.4,Credit,Salary,Income
2025-01-19,insurance claim Blood article.,53808.68,CREDIT,Insurance,Income
2024-10-03,IMPS credit Final think wonder.,41454.95,CR,IMPS,Income
2025-05-02,payment from Vote successful ten.,42211.59,Credit,Other,Income
2025-06-02,RECEIVED FROM Article serious.,46906.05,CR,Other,Income
2025-05-23,food Small admit.,17376.14,Debit,Food,Expense
2024-11-18,rent Respond join.,12807.48,DEBIT,Rent,Expense
2024-09-02,ZERODHA Nothing remember.,9697.33,CR,Other,Savings
2024-09-21,BONUS RECEIVED Expert contain read.,47626.16,CR,Salary,Income
2024-08-27,grocery Worry become can.,8519.85,Debit,Grocery,Expense
2025-01-06,rent received Republican response.,7941.94,CR,Rent,Income
2025-06-05,grocery Open ground foot.,15277.78,DEBIT,Grocery,Expense
2025-04-01,swiggy Happy democratic.,16804.83,DEBIT,Food Delivery,Expense
2024-10-24,rent Hard space reality.,9485.21,Debit,Rent,Expense
2024-11-14,SHAREKHAN Rate actually.,8728.49,DR,Other,Savings
2025-07-01,ACH/NEFT credit Enter fact huge.,79105.38,CREDIT,Other,Income
2025-06-03,emi Feel matter growth.,4934.15,DR,Loan,Expense
2025-02-09,amazon Ahead four.,5010.16,DEBIT,Shopping,Expense
2025-04-05,food Education local.,12514.22,Debit,Food,Expense
2025-01-19,zomato Inside public small.,8701.81,DEBIT,Food Delivery,Expense
2025-03-05,IMPS credit Window through.,69872.57,Credit,IMPS,Income
2024-08-11,amazon Poor experience.,18836.07,DR,Shopping,Expense
2024-10-03,RELIANCE MF Name risk hour drug.,5322.48,DR,Other,Savings
2024-11-27,electricity bill Turn decade.,9943.33,DR,Other,Expense
2025-01-04,emi Either financial.,18568.16,Debit,Loan,Expense
2025-07-03,emi Child course never.,15862.86,DEBIT,Loan,Expense
2024-09-08,fuel Whole attorney.,1580.26,DEBIT,Fuel,Expense
2025-06-21,SGB PURCHASE Audience quite.,2224.11,DEBIT,Other,Savings
2025-06-15,swiggy Morning a kind.,7500.36,DR,Food Delivery,Expense
2025-03-11,UPI credit Position officer.,67710.13,CREDIT,UPI,Income
2024-12-31,food Family word.,18276.4,DEBIT,Food,Expense
2025-05-04,electricity bill Act open who risk.,13720.7,DEBIT,Other,Expense
2024-11-24,emi Tree marriage.,17324.6,DR,Loan,Expense
2024-12-01,food Project resource.,5265.15,DR,Food,Expense
2024-08-08,AUTO TRANSFER TO FD Voice including.,5306.53,DR,Investment,Savings
2025-03-01,STOCKS Democratic father.,7301.16,Credit,Other,Savings
2025-01-27,amazon Between commercial.,3810.47,DEBIT,Shopping,Expense
2024-10-29,settlement Newspaper other.,32805.3,CREDIT,Settlement,Income
2025-06-01,DEMAT Movement model must.,6372.79,CREDIT,Other,Savings
2025-06-12,emi During real enjoy.,2136.35,Debit,Loan,Expense
2025-06-29,emi Last or suggest.,17160.08,DR,Loan,Expense
2024-11-20,salary transfer Address thus put.,28083.35,Credit,Salary,Income
2024-12-02,TATA AIA Best but inside.,4215.14,Credit,Other,Savings
2025-02-14,DIGITAL GOLD Establish pick real.,2341.59,Credit,Other,Savings
2025-02-17,royalty Its key five them.,56905.97,Credit,Royalty,Income
2024-10-07,food Building market.,14698.51,DR,Food,Expense
2024-08-04,MIRAE ASSET Impact question.,3979.17,CREDIT,Other,Savings
2025-05-01,bank transfer Organization media.,70867.51,CREDIT,Transfer,Income
2025-03-22,settlement Toward activity if.,51584.31,CREDIT,Settlement,Income
2024-10-19,shopping Herself despite.,12031.65,DEBIT,Shopping,Expense
2024-09-20,fuel Floor hour may.,6796.53,Debit,Fuel,Expense
2025-03-23,INTEREST CREDIT Foot data TV firm.,63907.1,Credit,Interest,Income
2025-01-24,AUTO TRANSFER TO RD Loss skill easy by.,7036.28,Debit,Investment,Savings
2024-10-13,food Start consider.,9040.61,Debit,Food,Expense
2025-04-26,grocery Measure six raise.,5376.43,DR,Grocery,Expense
2025-03-16,fuel TV significant.,14127.79,Debit,Fuel,Expense
2025-06-04,rent Baby of cover space.,5613.05,DR,Rent,Expense
2024-07-18,RTGS credit Community beat.,14749.71,Credit,RTGS,Income
2025-04-07,SALARY Prepare bring.,5007.15,CR,Salary,Income
2024-10-24,transfer from Else benefit music.,36263.17,CR,Transfer,Income
