Date,Description,Amount,Type,Label
2025-06-15,final settlement Central before.,44590.25,CR,Income
2024-10-19,fuel Executive word.,12632.8,DR,Expense
2024-08-16,electricity bill Through environment.,5352.91,DR,Expense
2024-10-05,INSURANCE PREMIUM Chance art heart.,7578.61,DR,Savings
2024-09-08,sip Can sense available.,2834.03,DR,Savings
2024-07-07,rent Song knowledge.,12276.44,DR,Expense
2024-12-24,GOLD ETF Move write item.,9286.58,DR,Savings
2025-02-11,swiggy Several game eye.,14567.6,DR,Expense
2024-07-03,paytm Nor down commercial.,13541.2,DR,Expense
2024-12-16,fuel Involve tonight box.,16227.32,DR,Expense
2024-09-18,fuel Something color.,15596.19,DR,Expense
2025-01-16,TATA AIA About hundred at.,3234.26,DR,Savings
2024-07-05,zomato Mouth reason.,11705.28,DR,Expense
2024-07-12,grocery Trial hundred.,7455.52,DR,Expense
2024-09-20,maturity proceeds Up father community.,48039.27,Credit,Income
2025-05-08,food Else ten number.,18284.55,DR,Expense
2025-06-25,expense claim Design moment.,32815.56,CR,Income
2025-05-31,bonus Structure back.,22558.72,CR,Income
2024-09-27,emi Situation fine case.,6117.91,DR,Expense
2025-04-16,zomato Thing image score.,2393.85,DR,Expense
2025-04-04,DEMAT Point we student.,5707.04,DR,Savings
2024-11-09,amazon Onto about improve.,6708.43,DR,Expense
2025-01-26,interest Whose suffer per.,79349.87,Credit,Income
2025-05-14,food Prove raise for.,11761.41,DR,Expense
2025-05-16,amazon Feel artist woman.,391.71,DR,Expense
2024-10-18,paytm Marriage meeting.,6928.19,DR,Expense
2024-10-15,stipend Reflect enter.,5132.09,CR,Income
2025-04-25,FD DEPOSIT Middle food result.,8891.74,DR,Savings
2024-12-13,electricity bill Reflect owner image.,11568.75,DR,Expense
2025-03-14,ICICI PRU MF Something agency.,3112.0,DR,Savings
2024-07-24,rent Ball require miss.,10522.31,DR,Expense
2025-04-19,fuel Traditional rise.,14638.34,DR,Expense
2024-08-30,swiggy Factor herself.,8751.76,DR,Expense
2025-03-08,rent Word center learn.,2387.98,DR,Expense
2024-08-23,maturity proceeds Matter front.,67395.21,CR,Income
2024-11-15,arrears Understand item.,11748.0,Credit,Income
2024-10-12,sip Share set nature.,6282.84,DR,Savings
2024-09-22,rent Data vote purpose.,5978.72,DR,Expense
2024-08-24,amazon Station realize.,12381.12,DR,Expense
2025-02-06,NIPPON INDIA General treat coach.,9708.83,DR,Savings
2025-04-17,SALARY DEPOSIT Us sort tonight.,23991.26,Credit,Income
2024-07-10,zomato Now million wall.,17338.86,DR,Expense
2024-08-30,electricity bill Course important.,14197.45,DR,Expense
2025-02-03,AUTO TRANSFER TO RD Well not impact Mrs.,1693.83,DR,Savings
2025-05-17,RECURRING DEPOSIT Door last.,3388.92,DR,Savings
2024-09-29,CREDIT FROM Tonight player.,61040.02,Credit,Income
2025-03-05,swiggy These head event.,13103.05,DR,Expense
2024-11-11,food Step economic.,18710.82,DR,Expense
2024-09-19,consulting payment Return finally.,65825.04,CR,Income
2025-06-16,RTGS credit Pattern cultural.,58347.8,Credit,Income
2025-03-20,emi Culture decade.,18007.5,DR,Expense
2025-04-06,SBI BLUECHIP Current speech ok.,4390.8,DR,Savings
2025-03-11,award Program room during.,62844.65,CR,Income
2024-08-09,REIMBURSEMENT Issue every lawyer.,65906.68,CR,Income
2024-07-24,REIMBURSEMENT So growth white.,64957.21,Credit,Income
2025-06-13,CREDITED Song within.,32203.12,CR,Income
2024-12-17,salary deposit Property newspaper.,50959.73,Credit,Income
2024-11-28,zomato Support commercial.,19596.56,DR,Expense
2025-02-13,scholarship Never must anything.,76783.35,CR,Income
2024-12-02,swiggy Administration miss.,4958.64,DR,Expense
2025-03-04,fuel Use court pass.,13010.31,DR,Expense
2024-11-03,fuel Those not support.,2112.16,DR,Expense
2025-04-20,LIC Certainly job.,3736.54,DR,Savings
2025-04-09,REIMBURSEMENT Now on through fish.,73214.62,CR,Income
2024-09-12,sale proceeds Development.,12443.57,CR,Income
2025-05-31,credited Fly be possible.,17044.17,CR,Income
2024-07-14,swiggy Respond threat.,11917.48,DR,Expense
2024-08-12,rent Mind question.,9273.12,DR,Expense
2024-11-05,advance payment Their will list.,67761.42,CR,Income
2024-11-22,pension Do nature impact.,7681.04,DR,Savings
2025-03-01,electricity bill Employee like.,12814.31,DR,Expense
2024-10-17,swiggy Television finish.,8876.39,DR,Expense
2024-11-01,salary transfer Save art wish two.,40622.29,Credit,Income
2024-12-04,rent Maybe health which.,2226.69,DR,Expense
2024-12-28,zomato Image customer low.,19551.9,DR,Expense
2025-01-31,zomato President keep lose.,17093.59,DR,Expense
2024-08-03,fuel After brother.,9431.24,DR,Expense
2024-07-14,NSC Level human staff.,4560.55,DR,Savings
2024-07-29,employer credit Purpose color.,12735.5,CR,Income
2025-01-05,INTEREST CREDIT Long ever together.,33968.93,Credit,Income
2024-11-20,RENT RECEIVED Practice simple.,39796.33,Credit,Income
2025-04-04,electricity bill Try trip modern.,11033.29,DR,Expense
2025-01-13,paytm Man three work.,10266.2,DR,Expense
2024-12-09,amazon Could major out.,10266.14,DR,Expense
2025-06-23,rent College list from.,5846.86,DR,Expense
2025-02-11,food East still thus.,7476.02,DR,Expense
2025-02-09,food Service ability as.,17154.92,DR,Expense
2025-02-03,cash deposit Mr behavior most.,15318.19,CR,Income
2025-04-17,electricity bill Responsibility real.,11540.45,DR,Expense
2025-01-15,PUBLIC PROVIDENT FUND Recent appear huge.,3956.96,DR,Savings
2024-10-10,salary from Compare character.,7601.12,Credit,Income
2025-06-15,insurance claim Recently tree left.,75190.97,Credit,Income
2024-09-16,INVESTMENT Near happen example.,8690.66,DR,Savings
2024-07-20,employer credit Product take free.,24114.83,Credit,Income
2025-02-13,dividend Card because stage.,13715.3,Credit,Income
2025-03-02,salary transfer Officer music like.,38770.65,CR,Income
2024-08-17,FD OPENING Among professional.,4642.6,DR,Savings
2025-04-18,AUTO TRANSFER TO RD Respond town.,7448.06,DR,Savings
2025-01-17,FD DEPOSIT System old drug.,573.95,DR,Savings
2025-04-28,HDFC LIFE Positive success.,2306.42,DR,Savings
2024-12-24,electricity bill Summer study.,15597.8,DR,Expense
2025-04-18,paytm Feeling week star.,9848.83,DR,Expense
2024-09-27,tax refund Husband open.,24241.6,Credit,Income
2024-11-23,food Yes phone occur.,7914.39,DR,Expense
2025-03-26,insurance claim Director owner.,59875.78,CR,Income
2024-11-28,emi Last policy college.,4807.46,DR,Expense
2024-07-25,HDFC LIFE Opportunity usually.,5811.72,DR,Savings
2025-03-26,food Fine administration.,2863.58,DR,Expense
2025-04-17,FD BOOKING As morning worry.,5967.76,DR,Savings
2024-07-15,IMPS credit Special try catch.,14363.59,Credit,Income
2024-11-11,fuel Hear skin once.,8500.49,DR,Expense
2024-09-22,CREDITED Group debate agency.,23910.32,Credit,Income
2025-06-11,CREDIT FROM Explain exactly.,30658.76,Credit,Income
2024-12-22,SGB INVESTMENT Imagine collection.,7038.58,DR,Savings
2025-05-21,reimbursement Site that involve.,25046.55,Credit,Income
2025-06-10,fuel Consider training.,1358.94,DR,Expense
2025-05-20,paytm Might community.,2284.89,DR,Expense
2025-01-17,NSC Partner fear could.,4521.01,DR,Savings
2025-05-15,FD INTEREST CREDIT Guy court join.,9681.84,DR,Savings
2024-10-03,zomato Until some human.,12342.68,DR,Expense
2024-07-30,consulting payment Community region.,41406.04,CR,Income
2025-03-03,food Although finally.,18559.0,DR,Expense
2025-02-20,online transfer Task center reflect.,63580.83,Credit,Income
2024-08-17,amazon Scene research.,7621.67,DR,Expense
2024-09-26,emi Receive modern.,871.24,DR,Expense
2024-07-31,REIMBURSEMENT Age effect indeed.,40545.55,CR,Income
2025-04-12,PPF Live beautiful.,5806.63,DR,Savings
2024-12-16,rent Including the.,17663.85,DR,Expense
2025-05-28,CREDIT FROM Who near produce.,31369.19,Credit,Income
2025-01-25,DIVIDEND RECEIVED Technology manager.,57623.27,Credit,Income
2025-04-25,fuel As arm me marriage.,10959.7,DR,Expense
2025-01-09,shopping Human help process.,8564.72,DR,Expense
2025-03-16,online transfer Want necessary.,54088.52,Credit,Income
2025-03-23,amazon Film together once.,14345.65,DR,Expense
2025-06-23,NSC Certain back think.,1321.69,DR,Savings
2024-09-07,grocery Carry call pick.,9240.0,DR,Expense
2024-10-03,tax refund Talk market.,40475.63,CR,Income
2025-05-01,swiggy Approach have focus.,19313.06,DR,Expense
2025-03-17,emi Structure laugh.,8289.9,DR,Expense
2024-09-29,shopping Some area toward.,13458.17,DR,Expense
2025-02-08,grocery Among artist.,18792.46,DR,Expense
2025-05-14,grocery Property mind.,4930.61,DR,Expense
2025-03-03,grocery Whole medical.,14062.16,DR,Expense
2024-07-30,rent Understand threat.,11905.56,DR,Expense
2024-11-10,emi Cut evidence.,5472.95,DR,Expense
2024-09-26,swiggy Model difficult.,6841.7,DR,Expense
2025-06-08,IMPS credit Consumer last.,66850.07,CR,Income
2025-05-07,cash deposit Wrong game check.,74930.21,Credit,Income
2025-01-10,shopping Put time effort.,5133.9,DR,Expense
2024-11-29,RECURRING DEPOSIT Too something turn.,9842.56,DR,Savings
2024-10-16,SALARY DEPOSIT Indicate job need.,36719.63,Credit,Income
2024-10-01,emi Trip majority the.,1398.35,DR,Expense
2025-02-18,emi Admit position upon.,1215.21,DR,Expense
2025-03-25,loan credit Son computer bag.,24807.25,CR,Income
2024-10-01,emi Really production.,3030.67,DR,Expense
2024-07-03,RTGS credit Example top.,25814.66,Credit,Income
2024-12-30,emi Tough consumer.,12445.68,DR,Expense
2025-05-15,RD Never newspaper.,1195.83,DR,Savings
2025-01-31,amazon Part responsibility.,11095.01,DR,Expense
2024-07-07,sale credit Loss performance.,34863.38,CR,Income
2024-12-19,fuel Want table approach.,520.04,DR,Expense
2024-07-29,EQUITY INVESTMENT Change always soon.,6076.86,DR,Savings
2025-03-29,FD interest Customer evening.,55824.12,CR,Income
2025-03-02,HDFC LIFE Thousand civil.,603.17,DR,Savings
2024-11-02,zomato Parent else without.,14771.99,DR,Expense
2025-03-28,cash deposit Cost word people.,53076.18,Credit,Income
2024-09-04,emi Audience side among.,13112.64,DR,Expense
2024-11-20,mutual fund redemption Audience who oil.,9036.02,Credit,Income
2025-03-19,insurance payout Season concern fire.,46556.81,Credit,Income
2025-02-05,bank transfer Education remember.,17712.29,Credit,Income
2024-07-05,REFUND Realize child.,31590.85,CR,Income
2024-09-12,fuel Though expert.,15865.41,DR,Expense
2025-05-30,electricity bill Minute cost true by.,17802.11,DR,Expense
2024-08-15,final settlement Song nor break.,29987.12,CR,Income
2024-10-13,emi Democrat benefit.,6258.21,DR,Expense
2025-01-04,fd Model Mr field.,8123.49,DR,Savings
2024-11-21,CREDITED TO Care situation.,8754.77,Credit,Income
2025-03-01,fuel Study book together.,2356.02,DR,Expense
2025-03-27,CREDITED TO State rest science.,16351.75,Credit,Income
2025-01-19,SHAREKHAN Edge degree accept.,7986.68,DR,Savings
2024-11-14,food Prevent control.,14155.06,DR,Expense
2025-05-04,food Spend between.,19335.75,DR,Expense
2025-01-29,credited Research skill.,60761.47,Credit,Income
2024-09-08,electricity bill House born one.,1596.91,DR,Expense
2025-04-08,shopping Would ten cost.,17251.99,DR,Expense
2025-04-01,DEBIT FOR INVESTMENT Student response.,9684.41,DR,Savings
2024-09-07,shopping Have hit executive.,19504.45,DR,Expense
2025-07-02,grocery Leader also own.,3903.91,DR,Expense
2025-06-20,incentive Sister wall thing.,65008.15,Credit,Income
2025-01-17,MUTUAL FUND PURCHASE Owner yeah short.,535.53,DR,Savings
2024-09-29,DEMAT Firm find everybody.,9302.1,DR,Savings
2024-07-28,shopping End ask rise this.,17788.82,DR,Expense
2025-06-20,zomato Discuss daughter.,10206.25,DR,Expense
2024-12-14,food Eight everything.,17975.94,DR,Expense
2024-08-11,food Wait religious age.,7497.69,DR,Expense
2025-02-13,insurance payout Color to difficult.,47582.3,CR,Income
2025-02-18,SHARE PURCHASE Article ok.,8791.46,DR,Savings
2024-07-13,rent Word issue move.,7938.52,DR,Expense
2025-01-04,FRANKLIN TEMPLETON Another bill gun.,8102.12,DR,Savings
2025-06-20,expense claim Each consumer end.,17255.86,CR,Income
2025-05-14,SALARY TRANSFER Lawyer local long.,67852.9,Credit,Income
2024-09-02,swiggy Player deal field.,12097.86,DR,Expense
